,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
62,2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000.0,187.61,-0.003238003207035378,185.82857142857142,177.84720000000004,-,,,,,100.0,100.0,100.0
63,2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200.0,185.74,-0.009987688116519287,186.02714285714288,178.11360000000005,-,,,,,100.0,100.0,100.0
64,2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800.0,187.77,0.01092113580995413,186.295,178.47280000000003,+,,,,,100.0,100.0,100.0
65,2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000.0,185.52,-0.011965959491202938,186.31928571428574,178.7406000000001,-,,,,,100.0,100.0,100.0
66,2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600.0,186.02,0.002696670577841065,186.32714285714292,179.05600000000007,+,,,,,100.0,100.0,100.0
67,2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500.0,185.59,-0.002346955524077265,186.28500000000003,179.34500000000008,-,,,,,100.0,100.0,100.0
68,2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600.0,187.31,0.009312722769765802,186.37285714285716,179.58500000000006,+,,,,,100.0,100.0,100.0
69,2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400.0,189.21,0.010100875977851365,186.68428571428575,179.86420000000007,+,,,,,100.0,100.0,100.0
70,2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900.0,189.21,4.814608150160993e-05,187.00142857142865,180.20660000000004,+,,,,,100.0,100.0,100.0
71,2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600.0,189.01,-0.0011057743484866878,187.2964285714286,180.5244,-,,,,,100.0,100.0,100.0
72,2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000.0,190.33,0.007026759781984636,187.56357142857144,180.86320000000003,+,,,,,100.0,100.0,100.0
73,2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100.0,190.93,0.003154159885057295,187.81571428571425,181.28000000000003,+,,,,,100.0,100.0,100.0
